City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
2,Bontang,ID,76.84,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
11,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.08,Scoop Guest House
15,Rikitea,PF,75.33,overcast clouds,-23.12,-134.97,Pension Maro'i
17,Puerto Narino,CO,84.2,heavy intensity rain,-3.77,-70.38,Eware Refugio Amazonico
22,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
28,San Jose,US,77.0,clear sky,37.34,-121.89,The Westin San Jose
31,Ewa Beach,US,80.6,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
32,Avera,US,80.6,scattered clouds,33.19,-82.53,
34,Atuona,PF,79.05,clear sky,-9.8,-139.03,Villa Enata
37,Puerto Ayora,EC,75.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
41,Touros,BR,80.6,clear sky,-5.2,-35.46,INN NEW HORIZON
42,Mahajanga,MG,77.0,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
45,Butaritari,KI,81.18,overcast clouds,3.07,172.79,Isles Sunset Lodge
47,Sao Filipe,CV,82.02,overcast clouds,14.9,-24.5,Tortuga B&B
49,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
50,Kununurra,AU,77.0,overcast clouds,-15.77,128.73,Hotel Kununurra
53,Luanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
63,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
64,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
68,Arlit,NE,82.36,clear sky,18.74,7.39,Hôtel Telwa Bungalow
70,Biak,ID,77.27,overcast clouds,-0.91,122.88,Kost Ariz
77,Port Blair,IN,79.45,broken clouds,11.67,92.75,Fortune Resort Bay Island
81,Meulaboh,ID,75.16,broken clouds,4.14,96.13,Kost Pria
88,Dwarka,IN,81.12,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
89,Sao Jose Da Coroa Grande,BR,77.83,few clouds,-8.9,-35.15,Crôa Mares Hotel
90,Kokopo,PG,79.48,scattered clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
100,Caravelas,BR,76.39,broken clouds,-17.71,-39.25,Pousada dos Navegantes
102,Kapaa,US,82.99,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
104,Panaba,MX,79.2,light rain,21.28,-88.27,Hotel Amor
105,Nacala,MZ,75.15,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
110,Nouadhibou,MR,80.6,overcast clouds,20.93,-17.03,El Medina
114,Sinnamary,GF,82.06,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
117,Feira De Santana,BR,84.76,overcast clouds,-12.27,-38.97,Hotel Paraiso
122,Sola,VU,79.36,broken clouds,-13.88,167.55,Ulkel Guest House
126,Bondoukou,CI,76.42,broken clouds,8.03,-2.8,Prestige Hotel
131,Loandjili,CG,77.65,broken clouds,-4.76,11.86,Résidence ARCHANGE
134,Bajos De Haina,DO,79.0,broken clouds,18.42,-70.03,Cerámica Lugo
135,Banda Aceh,ID,79.36,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
143,Carpinteria,US,77.0,clear sky,34.4,-119.52,Holiday Inn Express & Suites Carpinteria
157,Cabo San Lucas,MX,82.4,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
158,Bac Lieu,VN,77.68,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
160,Dingle,PH,75.87,broken clouds,11.0,122.67,Camp Pasica
162,Mont-Dore,NC,79.0,overcast clouds,-22.28,166.58,GIte
164,Ndele,CF,75.54,scattered clouds,8.41,20.65,
169,Sao Joao Da Barra,BR,77.0,clear sky,-21.64,-41.05,Pousada Porto De Canoas
171,San Nicolas,PH,78.8,overcast clouds,18.17,120.6,NORTHVIEW Hotel
172,Fare,PF,80.4,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
177,Dibulla,CO,85.75,broken clouds,11.27,-73.31,Hospedaje Dibulla Beach
184,Buchanan,LR,80.6,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
189,Tual,ID,83.3,overcast clouds,-5.67,132.75,Grand Vilia Hotel
192,Laguna,US,75.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
