City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Busselton,AU,-33.65,115.33,54.0,96,22,7.92,few clouds
1,Vaini,TO,-21.2,-175.2,75.2,78,40,12.75,scattered clouds
2,Bontang,ID,0.13,117.5,76.84,86,96,6.71,overcast clouds
3,Thompson,CA,55.74,-97.86,26.6,63,75,9.17,broken clouds
4,Porto Walter,BR,-8.27,-72.74,92.8,47,97,2.33,overcast clouds
5,Lebu,CL,-37.62,-73.65,53.44,66,97,13.44,overcast clouds
6,Vinh,VN,18.67,105.67,72.99,87,99,8.39,overcast clouds
7,Alofi,NU,-19.06,-169.92,69.8,94,90,14.99,shower rain
8,Punta Arenas,CL,-53.15,-70.92,46.4,55,0,21.92,clear sky
9,Albany,US,42.6,-73.97,50.0,61,100,3.29,overcast clouds
10,Jamestown,US,42.1,-79.24,45.0,81,90,8.05,overcast clouds
11,Hithadhoo,MV,-0.6,73.08,83.43,67,93,9.44,overcast clouds
12,Chokurdakh,RU,70.63,147.92,11.64,97,100,1.3,light snow
13,Troitsko-Pechorsk,RU,62.71,56.2,30.4,98,100,7.34,overcast clouds
14,Kaitangata,NZ,-46.28,169.85,55.0,71,4,4.0,clear sky
15,Rikitea,PF,-23.12,-134.97,75.33,84,100,17.27,overcast clouds
16,Clarence Town,AU,-32.58,151.78,63.0,82,75,9.17,broken clouds
17,Puerto Narino,CO,-3.77,-70.38,84.2,89,75,4.7,heavy intensity rain
18,Ushuaia,AR,-54.8,-68.3,46.4,42,20,11.41,few clouds
19,Tiksi,RU,71.69,128.87,-1.19,91,50,10.69,scattered clouds
20,Komsomolskiy,UZ,40.43,71.72,51.8,40,98,2.24,overcast clouds
21,Ironton,US,38.54,-82.68,64.99,72,90,8.05,overcast clouds
22,Kloulklubed,PW,7.04,134.26,75.2,94,75,2.91,broken clouds
23,Pierre,US,44.37,-100.35,34.0,85,1,10.29,clear sky
24,Cape Town,ZA,-33.93,18.42,64.0,87,75,2.24,broken clouds
25,Saint George,US,37.1,-113.58,57.99,10,1,3.8,clear sky
26,Kyzyl-Suu,KG,42.34,78.01,44.37,50,100,9.22,overcast clouds
27,Kodiak,US,57.79,-152.41,48.2,45,1,8.05,clear sky
28,San Jose,US,37.34,-121.89,77.0,13,1,14.99,clear sky
29,Dubrovnik,HR,42.65,18.09,60.8,82,20,9.17,few clouds
30,Bitam,GA,2.08,11.5,69.42,98,70,2.93,light rain
31,Ewa Beach,US,21.32,-158.01,80.6,74,1,1.97,clear sky
32,Avera,US,33.19,-82.53,80.6,61,40,3.36,scattered clouds
