City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Beyneu,KZ,2020-10-26 00:33:22,45.32,55.2,55.35,87,45,15.5
1,Jamestown,US,2020-10-26 00:35:11,42.1,-79.24,45.0,70,90,10.29
2,Kaiyuan,CN,2020-10-26 00:35:28,23.7,103.3,64.33,74,2,2.21
3,Evensk,RU,2020-10-26 00:35:28,61.95,159.23,34.54,86,100,14.43
4,Puerto Ayora,EC,2020-10-26 00:35:29,-0.74,-90.35,68.0,83,43,4.0
5,Port Macquarie,AU,2020-10-26 00:33:45,-31.43,152.92,77.0,54,16,1.99
6,Albany,US,2020-10-26 00:35:29,42.6,-73.97,42.01,55,2,2.08
7,Hilo,US,2020-10-26 00:33:24,19.73,-155.09,87.8,55,20,17.22
8,Yellowknife,CA,2020-10-26 00:35:30,62.46,-114.35,28.4,79,75,6.93
9,Mataura,NZ,2020-10-26 00:35:30,-46.19,168.86,54.0,59,99,8.01
10,Caravelas,BR,2020-10-26 00:35:30,-17.71,-39.25,72.07,97,100,9.44
11,Alta Floresta,BR,2020-10-26 00:35:30,-9.88,-56.09,77.23,65,62,1.68
12,Castro,BR,2020-10-26 00:31:53,-24.79,-50.01,61.16,97,2,6.15
13,Cape Town,ZA,2020-10-26 00:35:31,-33.93,18.42,62.01,77,0,11.41
14,Guasdualito,VE,2020-10-26 00:35:31,7.24,-70.73,75.47,90,98,2.73
15,Huilong,CN,2020-10-26 00:35:31,31.81,121.66,66.99,81,35,1.99
16,Maragogi,BR,2020-10-26 00:35:20,-9.01,-35.22,76.8,81,62,12.37
17,Vostok,RU,2020-10-26 00:35:32,46.49,135.88,38.71,81,43,2.68
18,Avarua,CK,2020-10-26 00:34:46,-21.21,-159.78,78.8,65,69,12.75
19,Faanui,PF,2020-10-26 00:35:32,-16.48,-151.75,79.86,73,0,7.16
20,Rikitea,PF,2020-10-26 00:34:29,-23.12,-134.97,73.72,82,100,25.7
21,Pachino,IT,2020-10-26 00:35:33,36.72,15.09,57.99,87,0,4.7
22,Sisimiut,GL,2020-10-26 00:32:59,66.94,-53.67,20.8,86,100,9.28
23,Lebu,CL,2020-10-26 00:35:33,-37.62,-73.65,47.89,77,10,4.05
24,East London,ZA,2020-10-26 00:35:29,-33.02,27.91,65.79,73,89,1.01
25,Punta Arenas,CL,2020-10-26 00:33:09,-53.15,-70.92,44.6,81,75,3.36
26,Vaini,TO,2020-10-26 00:35:34,-21.2,-175.2,73.4,94,90,13.87
27,Cabo San Lucas,MX,2020-10-26 00:31:14,22.89,-109.91,86.0,62,40,8.05
28,Zhuhai,CN,2020-10-26 00:35:35,22.28,113.57,78.01,78,20,10.29
29,Faya,SA,2020-10-26 00:35:35,18.39,42.45,59.0,22,0,2.08
30,Yulara,AU,2020-10-26 00:33:33,-25.24,130.99,68.0,24,0,18.34
31,Cookeville,US,2020-10-26 00:35:36,36.16,-85.5,62.6,88,90,3.36
32,Narsaq,GL,2020-10-26 00:33:52,60.92,-46.05,41.0,48,100,14.99
33,Zhangye,CN,2020-10-26 00:34:39,38.93,100.45,39.15,55,21,2.01
34,Tasiilaq,GL,2020-10-26 00:32:49,65.61,-37.64,32.0,97,100,19.46
35,Quelimane,MZ,2020-10-26 00:35:36,-17.88,36.89,77.0,83,20,10.29
36,Smoky Lake,CA,2020-10-26 00:35:37,54.12,-112.47,20.88,87,0,7.92
37,Kruisfontein,ZA,2020-10-26 00:35:37,-34.0,24.73,62.01,95,100,1.99
